Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,mul,mub,Vr,UU,VV,WW,[Fe/H],l,b,Av,Mbol
0.065,13.2,5.0,7.5,3.502,5.06,7.0,0.2,1.545,1.358,2.819,5.303,17.336,10.567,-3.463,6.62,-0.65,-35.08,0.15,0.17,200.0,59.0,0.003,11.512
0.075,13.1,5.0,7.5,3.504,5.02,5.0,0.2,1.604,1.286,2.801,5.08,17.493,0.102,4.335,-10.86,17.85,6.11,-1.34,0.01,200.0,59.0,0.003,11.412
0.075,12.1,5.0,7.4,3.522,4.97,3.0,0.28,1.413,1.223,2.56,4.94,16.471,1.094,-11.146,8.34,-34.76,-16.81,-13.35,0.25,200.0,59.0,0.003,10.475
0.085,16.9,5.0,7.8,3.475,5.27,6.0,0.09,1.867,1.637,3.323,5.719,21.641,12.332,-5.541,-7.89,2.82,-52.03,-18.3,-0.24,200.0,59.0,0.004,0.0
0.095,15.5,5.0,7.74,3.459,5.16,4.0,0.11,1.908,1.736,3.533,6.293,20.369,-2.22,-2.703,-20.03,-3.56,9.37,-23.46,0.02,200.0,59.0,0.004,13.653
0.095,14.6,5.0,7.71,3.477,5.08,4.0,0.14,1.767,1.525,3.22,5.833,19.472,4.11,2.42,-13.91,21.88,-11.79,-6.3,0.05,200.0,59.0,0.004,12.785
0.095,13.6,5.0,7.6,3.495,5.07,4.0,0.18,1.617,1.402,2.941,5.439,18.403,1.6,-10.404,-13.46,-28.86,-18.19,-35.73,0.08,200.0,59.0,0.004,11.88
0.095,12.5,5.0,7.5,3.515,4.99,5.0,0.24,1.562,1.207,2.635,4.848,17.325,-3.111,-17.619,34.17,-85.43,-16.14,-11.68,0.0,200.0,59.0,0.004,10.844
0.095,16.6,5.0,7.8,3.475,5.27,5.0,0.09,1.829,1.642,3.325,5.712,21.587,10.092,-3.485,8.65,-1.27,-48.96,-0.69,-0.27,200.0,59.0,0.004,0.0
0.105,12.8,5.0,7.5,3.509,4.99,7.0,0.22,1.863,1.436,2.528,4.662,17.874,1.204,-10.007,20.2,-47.93,-23.84,-8.39,-0.79,200.0,59.0,0.004,11.112
0.105,10.6,5.0,7.3,3.55,4.87,5.0,0.43,1.364,1.075,2.112,4.235,15.707,-1.142,-13.247,27.12,-68.3,-18.8,-10.78,0.39,200.0,59.0,0.004,9.039
0.115,14.6,5.0,7.71,3.477,5.08,2.0,0.14,1.751,1.538,3.201,5.938,19.94,0.792,-1.051,12.16,-9.03,-7.89,7.47,0.14,200.0,59.0,0.005,12.785
0.115,13.7,5.0,7.65,3.493,5.0,3.0,0.17,1.622,1.429,2.958,5.534,19.094,-3.303,-4.338,-8.89,-20.95,11.57,-19.82,0.14,200.0,59.0,0.005,11.948
0.115,13.5,5.0,7.6,3.497,5.05,5.0,0.18,1.685,1.375,2.908,5.209,18.821,2.226,-2.844,-4.93,-5.97,-15.11,-12.22,-0.1,200.0,59.0,0.005,11.78
