Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.825,14.4,5.0,7.67,3.481,5.1,2.0,0.14,2.013,1.725,3.516,6.531,24.783,0.06,1.0,-4.0,0.859,12.616
0.825,13.1,5.0,7.5,3.504,5.02,3.0,0.2,1.883,1.504,3.154,5.836,23.507,0.01,1.0,-4.0,0.859,11.412
0.825,11.6,5.0,7.4,3.531,4.91,5.0,0.32,1.789,1.358,2.72,5.303,21.957,-0.04,1.0,-4.0,0.859,9.975
0.825,8.3,5.0,6.9,3.607,4.68,3.0,0.65,1.613,1.532,1.95,4.019,18.81,0.18,1.0,-4.0,0.859,6.93
1.298,11.9,5.0,7.4,3.525,4.95,3.0,0.3,1.973,1.653,3.199,6.289,24.164,0.12,1.0,-4.0,1.705,10.275
1.785,11.8,5.0,7.4,3.527,4.96,4.0,0.31,2.202,1.825,3.477,6.923,25.455,0.17,1.0,-4.0,2.445,10.175
1.785,11.0,5.0,7.3,3.542,4.9,6.0,0.4,2.205,1.719,3.206,6.457,24.774,0.22,1.0,-4.0,2.445,9.407
2.277,11.1,5.0,7.3,3.54,4.89,6.0,0.38,2.465,1.888,3.431,7.061,25.804,0.0,1.0,-4.0,2.978,9.507
2.277,5.9,5.0,6.1,3.701,4.53,5.0,0.83,1.877,1.434,2.129,4.777,20.651,0.08,1.0,-4.0,2.978,5.055
2.773,9.9,5.0,7.2,3.565,4.79,3.0,0.51,2.484,2.032,3.293,6.836,25.456,0.08,1.0,-4.0,3.276,8.371
2.773,9.6,5.0,7.15,3.572,4.77,5.0,0.53,2.503,2.057,3.215,6.872,25.095,-0.04,1.0,-4.0,3.276,8.103
2.773,9.5,5.0,7.15,3.575,4.76,6.0,0.54,2.447,2.073,3.2,6.737,24.996,0.23,1.0,-4.0,3.276,8.003
2.773,9.1,5.0,7.1,3.585,4.72,7.0,0.57,2.472,2.082,3.116,6.729,24.589,-0.01,1.0,-4.0,3.276,7.634
2.773,6.9,5.0,6.5,3.656,4.59,3.0,0.76,2.218,1.97,2.532,5.619,22.409,0.12,1.0,-4.0,3.276,5.73
2.773,6.3,5.0,6.3,3.682,4.55,5.0,0.81,2.068,1.692,2.327,5.268,21.752,0.0,1.0,-4.0,3.276,5.325
2.773,3.5,5.0,4.8,3.78,4.06,6.0,1.17,1.59,0.807,1.973,4.327,18.967,-0.32,1.0,-4.0,3.276,2.91
3.269,9.6,5.0,7.15,3.572,4.78,5.0,0.54,2.474,2.09,3.275,6.916,25.531,0.3,1.0,-4.0,3.401,8.103
3.269,7.0,5.0,6.5,3.652,4.62,7.0,0.76,2.216,1.81,2.585,5.735,22.927,-0.47,1.0,-4.0,3.401,5.83
3.269,6.6,5.0,6.3,3.669,4.61,4.0,0.8,2.197,1.918,2.487,5.566,22.658,0.16,1.0,-4.0,3.401,5.56
3.269,6.3,5.0,6.3,3.682,4.56,7.0,0.82,2.109,1.727,2.379,5.38,22.192,0.0,1.0,-4.0,3.401,5.325
3.269,4.9,5.0,5.4,3.76,4.46,3.0,1.03,1.787,1.138,2.115,4.571,20.831,0.4,1.0,-4.0,3.401,4.247
3.269,6.6,5.0,6.12,3.705,4.67,8.0,0.68,1.921,1.24,2.275,5.105,22.491,-0.7,1.0,-4.0,3.401,6.31
3.269,4.0,5.0,4.73,3.793,4.18,8.0,0.9,1.531,0.678,1.98,4.349,19.941,-1.33,1.0,-4.0,3.401,3.911
3.767,9.0,5.0,7.0,3.587,4.75,6.0,0.59,2.472,2.157,3.172,6.677,25.279,0.28,1.0,-4.0,3.44,7.566
3.767,8.3,5.0,6.9,3.607,4.68,5.0,0.65,2.445,2.202,3.012,6.329,24.589,0.22,1.0,-4.0,3.44,6.93
3.767,7.9,5.0,6.7,3.62,4.67,7.0,0.67,2.409,2.189,2.891,6.177,24.311,0.23,1.0,-4.0,3.44,6.593
3.767,7.6,5.0,6.5,3.63,4.65,6.0,0.7,2.376,2.158,2.794,6.047,23.896,0.19,1.0,-4.0,3.44,6.325
3.767,6.3,5.0,6.3,3.682,4.55,3.0,0.81,2.145,1.828,2.415,5.426,22.669,0.23,1.0,-4.0,3.44,5.325
3.767,5.7,5.0,6.0,3.712,4.54,3.0,0.91,1.992,1.502,2.297,5.102,22.052,0.22,1.0,-4.0,3.44,4.92
3.767,5.7,5.0,6.0,3.712,4.54,6.0,0.91,1.965,1.414,2.282,5.101,22.018,0.0,1.0,-4.0,3.44,4.92
3.767,3.6,4.0,5.2,3.75,3.93,7.0,1.12,1.769,1.01,2.158,4.714,19.841,-0.2,1.0,-4.0,3.44,2.963
3.767,3.1,3.0,5.8,3.68,3.42,6.0,1.2,2.155,1.736,2.374,5.407,19.456,-0.01,1.0,-4.0,3.44,2.136
3.767,6.6,5.0,6.12,3.705,4.67,8.0,0.68,1.948,1.312,2.296,5.144,22.997,-0.5,1.0,-4.0,3.44,6.31
4.265,8.5,5.0,7.0,3.601,4.68,4.0,0.62,2.466,2.205,3.072,6.408,25.153,0.19,1.0,-4.0,3.449,7.098
4.265,8.3,5.0,6.9,3.607,4.68,7.0,0.65,2.463,2.138,3.007,6.563,24.842,-0.03,1.0,-4.0,3.449,6.93
4.265,7.4,5.0,6.5,3.637,4.61,7.0,0.7,2.335,2.025,2.731,6.052,23.952,-0.13,1.0,-4.0,3.449,6.125
4.265,7.4,5.0,6.5,3.637,4.62,7.0,0.72,2.322,1.98,2.728,6.006,23.947,-0.25,1.0,-4.0,3.449,6.125
4.265,7.1,5.0,6.5,3.648,4.64,4.0,0.75,2.324,2.107,2.672,5.874,23.707,0.24,1.0,-4.0,3.449,5.93
4.265,5.8,5.0,6.1,3.707,4.52,7.0,0.86,2.008,1.519,2.312,5.154,22.302,0.12,1.0,-4.0,3.449,4.955
4.265,5.0,5.0,5.5,3.74,4.39,7.0,0.93,1.843,1.178,2.208,4.828,21.669,0.07,1.0,-4.0,3.449,4.283
4.265,8.2,5.0,6.7,3.631,4.77,8.0,0.56,2.309,1.86,2.781,5.93,24.862,-0.62,1.0,-4.0,3.449,7.513
4.763,8.9,5.0,7.0,3.59,4.72,6.0,0.59,2.462,2.178,3.156,6.671,25.686,0.35,1.0,-4.0,3.451,7.466
4.763,8.9,5.0,7.0,3.59,4.72,6.0,0.59,2.487,2.161,3.158,6.598,25.688,0.16,1.0,-4.0,3.451,7.466
4.763,6.1,5.0,6.2,3.692,4.54,7.0,0.81,2.051,1.554,2.351,5.301,22.848,-0.22,1.0,-4.0,3.451,5.19
